"source","width"
"blood",2.98
"blood",19.01
"blood",4.42
"blood",11.93
"blood",5.09
"blood",4.54
"blood",9.33
"blood",10.15
"blood",9.13
"blood",4.06
"blood",4.06
"blood",6.09
"blood",7.31
"blood",3.05
"blood",5.08
"blood",6.1
"blood",2.22
"blood",6.34
"blood",5.08
"blood",10.15
"blood",6.81
"blood",9.13
"blood",10.24
"blood",12.18
"blood",9.33
"blood",5.08
"blood",4.06
"blood",7.72
"blood",4.9
"blood",2.87
"blood",6.35
"blood",12.18
"blood",8.72
"blood",12.92
"blood",8.93
"blood",9.05
"blood",12.18
"blood",2.59
"blood",10.15
"blood",10.55
"blood",7.18
"blood",14.51
"blood",4.09
"blood",8.12
"blood",5.74
"blood",7.18
"blood",11.32
"blood",10.05
"blood",9.99
"blood",7.1
"blood",3.05
"blood",8.62
"blood",2.83
"blood",3.63
"blood",3.63
"blood",10.05
"blood",6.09
"blood",3.05
"blood",4.31
"blood",5.28
"blood",12.18
"blood",14.21
"blood",4.06
"blood",8.61
"blood",13.19
"blood",7.88
"blood",19.82
"blood",12.99
"blood",6.09
"blood",7.1
"blood",9.32
"blood",6.09
"blood",11.8
"blood",12.71
"blood",13.19
"blood",10.35
"blood",2.89
"blood",9.13
"blood",14.53
"blood",7.89
"blood",10.15
"blood",3.05
"blood",8.58
"blood",9.37
"blood",4.06
"blood",13.16
"blood",7.26
"blood",9.05
"blood",5.98
"blood",2.72
"blood",6.09
"blood",10.15
"blood",3.05
"blood",10.44
"blood",7.89
"blood",12.2
"blood",3.05
"blood",19.5
"blood",8.17
"blood",8.16
"blood",3.05
"blood",8.01
"blood",19.16
"blood",4.06
"blood",2.71
"blood",3.03
"blood",6.87
"blood",3.16
"blood",26.67
"blood",10.08
"blood",4.65
"blood",6.46
"blood",14.2
"blood",3.61
"blood",25.59
"blood",6.84
"blood",14.45
"blood",8.8
"blood",13.62
"blood",8.43
"blood",4.04
"blood",8.47
"blood",21.41
"blood",3.03
"blood",2.71
"blood",8.91
"blood",8.62
"blood",5.69
"blood",4.04
"blood",3.03
"blood",3.03
"blood",4.01
"blood",24.53
"blood",5.32
"blood",4.28
"blood",3.03
"blood",5.05
"blood",3.57
"blood",9.69
"blood",10.83
"blood",4.04
"blood",2.45
"blood",9.53
"blood",16.45
"blood",2.81
"blood",16.39
"blood",4.16
"blood",12.75
"blood",4.51
"blood",3.03
"blood",9.27
"blood",3.03
"blood",5.04
"blood",5.04
"blood",3.16
"blood",4.99
"blood",6.31
"blood",3.03
"blood",9.88
"blood",5.19
"blood",5.04
"blood",3.03
"blood",3.03
"blood",7.97
"blood",10.72
"blood",16.85
"blood",4.24
"blood",4.03
"blood",4.99
"blood",3.92
"blood",4.24
"blood",5.04
"blood",2.85
"blood",5.04
"blood",3.83
"blood",4.03
"blood",4.03
"blood",7.21
"blood",3.61
"blood",11.09
"blood",3.57
"blood",4.03
"blood",5.87
"blood",2.69
"blood",2.85
"blood",4.03
"blood",13.98
"blood",3.61
"blood",3.83
"blood",3.03
"blood",12.12
"blood",9.27
"blood",3.61
"blood",5.04
"blood",3.03
"blood",8.56
"blood",5.04
"blood",13.44
"blood",7.06
"blood",4.03
"blood",3.03
"blood",3.03
"blood",2.85
"blood",4.03
"blood",6.42
"blood",3.61
"blood",3.57
"blood",3.03
"blood",4.03
"blood",2.71
"blood",4.03
"blood",11.09
"blood",3.16
"blood",3.16
"blood",5.22
"blood",3.96
"blood",3.61
"blood",2.14
"blood",3.57
"blood",2.14
"blood",4.03
"blood",3.03
"blood",6.05
"blood",6.05
"blood",2.85
"blood",3.03
"blood",4.46
"blood",9.27
"blood",3.03
"blood",10.08
"blood",3.64
"blood",8.57
"blood",2.82
"blood",2.85
"blood",3.03
"blood",4.99
"blood",2.69
"blood",4.03
"blood",4.99
"blood",14.33
"blood",4.03
"blood",4.03
"blood",2.14
"blood",9.92
"blood",3.36
"blood",4.47
"blood",2.85
"blood",5.41
"blood",6.05
"blood",7.13
"blood",12.27
"blood",6.36
"blood",5.7
"blood",9.54
"blood",6.18
"blood",4.03
"blood",10.08
"blood",7.13
"blood",4.03
"blood",6.42
"blood",9.2
"blood",4.4
"blood",7.06
"blood",7.06
"blood",7.06
"blood",7.06
"blood",4.96
"blood",7.13
"blood",7.06
"blood",3.03
"blood",3.03
"blood",5.13
"blood",2.85
"blood",5.74
"blood",3.03
"blood",7.65
"blood",8
"blood",3.57
"blood",4.15
"blood",3.61
"blood",5.03
"blood",3.03
"blood",5.04
"blood",2.26
"blood",6.85
"blood",4.47
"blood",3.03
"blood",7.13
"blood",4.99
"blood",4.28
"blood",3.57
"blood",2.85
"blood",2.55
"blood",4.99
"blood",10.08
"blood",6.05
"blood",4.03
"blood",5.04
"blood",7.57
"blood",17.77
"blood",3.03
"blood",7.13
"blood",4.99
"blood",3.51
"blood",2.14
"blood",11.41
"blood",4.41
"blood",2.23
"blood",4.28
"blood",10.37
"blood",6.05
"blood",3.03
"blood",5.7
"blood",3.03
"blood",3.03
"blood",4.55
"blood",2.85
"blood",4.89
"blood",2.71
"blood",7.35
"blood",23.65
"blood",3.61
"blood",4.03
"blood",3.51
"blood",6.05
"blood",3.03
"blood",6.23
"blood",3.57
"blood",11.16
"blood",14.12
"blood",9.27
